discounted_price,actual_price,discount_percentage,rating,rating_count
399,1099,64,4.2,24269
199,349,43,4,43994
199,1899,90,3.9,7928
329,699,53,4.2,94363
154,399,61,4.2,16905
149,1000,85,3.9,24871
177,499,65,4.1,15188
229,299,23,4.3,30411
499,999,50,4.2,179691
199,299,33,4,43994
154,339,55,4.3,13391
299,799,63,4.2,94363
219,700,69,4.4,426973
350,899,61,4.2,2262
159,399,60,4.1,4768
349,399,13,4.4,18757
13999,24999,44,4.2,32840
249,399,38,4,43994
199,499,60,4.1,13045
13490,21990,39,4.3,11976
970,1799,46,4.5,815
279,499,44,3.7,10962
13490,22900,41,4.3,16299
59,199,70,4,9378
11499,19990,42,4.3,4703
199,699,72,4.2,12153
14999,19999,25,4.2,34899
299,399,25,4,2766
970,1999,51,4.4,184
299,999,70,4.3,20850
199,750,73,4.5,74976
179,499,64,4,1934
389,1099,65,4.3,974
599,599,0,4.3,355
199,999,80,3.9,1075
99,666.66,85,3.9,24871
899,1900,53,4.4,13552
199,999,80,4,576
32999,45999,28,4.2,7298
970,1999,51,4.2,462
209,695,70,4.5,107687
19999,34999,43,4.3,27151
399,1099,64,4.2,24269
999,1599,38,4.3,12093
59,199,70,4,9378
333,999,67,3.3,9792
507,1208,58,4.1,8131
309,475,35,4.4,426973
399,999,60,3.6,493
199,395,50,4.2,92595
1199,2199,45,4.4,24780
179,500,64,4.2,92595
799,2100,62,4.3,8188
6999,12999,46,4.2,4003
199,349,43,4.1,314
230,499,54,3.7,2960
649,1399,54,4.2,179691
15999,21999,27,4.2,34899
348,1499,77,4.2,656
154,349,56,4.3,7064
179,799,78,3.7,2201
32990,47900,31,4.3,7109
139,999,86,4,1313
329,845,61,4.2,29746
13999,24999,44,4.2,45238
309,1400,78,4.4,426973
263,699,62,4.1,450
7999,14990,47,4.3,457
1599,2999,47,4.2,2727
219,700,69,4.3,20053
349,899,61,4.5,149
349,599,42,4.1,210
26999,42999,37,4.2,45238
115,499,77,4,7732
399,999,60,4.1,1780
199,499,60,4.1,602
179,399,55,4,1423
10901,30990,65,4.1,398
209,499,58,3.9,536
1434,3999,64,4,32
399,1099,64,4.2,24269
139,249,44,4,9378
7299,19125,62,3.4,902
299,799,63,4.4,28791
325,1299,75,4.2,10576
29999,39999,25,4.2,7298
27999,40990,32,4.3,4703
30990,52900,41,4.3,7109
199,999,80,4.5,127
649,1999,68,4.2,24269
269,800,66,3.6,10134
24999,31999,22,4.2,34899
299,699,57,4.2,94363
199,999,80,4.1,425
18990,40990,54,4.2,6659
290,349,17,3.7,1977
249,799,69,3.8,1079
345,999,65,3.7,1097
1099,1899,42,4.5,22420
719,1499,52,4.1,1045
349,1499,77,4.3,4145
849,1809,53,4.3,6547
